AA Bronson and Peter Hobbs,Invocation of the Queer Spirits,2008-2010
Adrian Piper,Funk Lessons,1983
Ai WeiWei,Dropping a Han Dynasty Urn ,1995
Alex Bag,Untitled (1995),1995
Alexandra Bachzetsis,A Piece Danced Alone,2012
Alison Knowles,Shoes of Your Choice ,1963
Allan Kaprow,Household,1964
Andrea Fraser,Untitled (2003),2003
Andreja Kuluncic,Bosnians Out!,2008
Anthony Schrag,Fight Club,2013
Art Club 2000 in cooperation with Colin de Land,Art Club 2000,1992-1994
Artists Placement Group,Artists Placement Group,1966-1989
Bas Jan Ader,In Search of the Miraculous,1975
Bernadette Corporation,Reena Spaulings,2005
Bruce McLean,High-up on a Baroque Palazzo,1974
Bruce Nauman,Performance Corridor,1967-1968
Calum Bowden,Calls of Duty,2016
Cao Fei ,Whose Utopia?,2006
Carolee Schneeman,Meat Joy,1964
Charlotte Prodger & Isla Leaver-Yap,Re: Re: Re: Homos and Light + Fwd: Rock Splits Boys,2013
Chris Burden,Through the Night Softly,1973
Christoph Schlingensief ,Please Love Austria,2000
Cindy Sherman,Untitled Film Still (series),1977-80
Coco Fusco,Rights of Passage,1997
Crass,"Dial House, Essex",1967-present
Czarny Protest,Czarny Protest / Black Protest,2016
Danh Vo,Vo Rosasco Rasmussen,2002
Dave Sherry,The Life of a Finger,2011
Dieter Roth,Flat Waste,1976-1977
Eddie Peake,Touch,2012
Emily Roysdon,A Gay Bar Called Everywhere (With Costumes and No Practice),2011
"Emma Hedditch, and Irene Revell",The Her Noise Archive,2001-present
Emma Sulcowicz,Mattress Performance (Carry That Weight),2014-2015
Erwin Wurm,Certificate,1990
Evan Ifekoya,Ojulowo,2014
Falke Pisano,Figures of Speech 1,2008
Federico Manuel Peralta Ramos,We Are Outside,1965
Fischli & Weiss,The Way Things Go,1987
Fokus Grupa,Herbarium,2013-ongoing
Francis Alys,When Faith Moves Mountains,2002
Genesis P-Orridge and Lady Jaye Breyer,the Pandrogeny Project,1993-2007
George Brecht,Exercise from ‘Water Yam’,1972
Gerry Bibby,Frieze Projects: 2013,2013
Gilbert & George,Gordon’s Makes us Drunk,1972
Grant Watson,How We Behave,2013-ongoing
Guerrila Girls,Guerrilla Girls Review the Whitney (Guerilla Girls Survey the Survey),1987
Günter Brus with Kurt Kren,Selbstverstummlung,1965
Gustav Metzger,Art Strike,1977-1980
Guy Ben-Ner,Moby Dick,2000
Guy De Cointet,Five Sisters,1982-2012
Hayley Newman,Connotations-Performance Images ,1994-1998
Heather Cassils,Cuts: A Traditional Sculpture,2011-2013
Henriette Heise & Jakob Jakobsen,Copenhagen Free University,2001-2007
Hermann Nitsch,Orgien Mysterien Theater,1962-1998
Hito Steyerl,I Dreamed a Dream: Politics in the Age of Mass Art Production,2013
Hyunjoo Heaven Baek,Lake Scratchers,2014
Internet (Sian Robinson Davies & Diego Chamy),A Conversation with the Pink Panther,2013
Jack Smith,Flaming Creatures,1963
Jamie Isenstein,Armchair,1998
Janice Parker,Private Dancer,2012
Jayson Musson,Hennessy Youngman,2010-2012
Jelili Atiku,Red Light,2009
Jeremy Deller,The Battle of Orgreave,2001
Joan Jonas,Volcanic Saga,1989
Johannes Paul Raether,Identitecture,2010-present
John Cage,4’33’’,1952
John Duncan,Blind Date,1980
Jonas Staal,New World Summit,2012-present
Joseph Beuys,I like America and America Likes Me,1974
Judy Chicago and Miriam Schapiro,Womanhouse,1972
Julius Koller,Anti-Performance (U.F.O) ,1980
K Foundation,K Foundation Burn a Million Quid ,1994
Kaari Upson,The Larry Project,2003-present
Kate Stobbart,You’re so not worth it,2011
Kathryn Elkin,"Dame, 1975",2013
Kembra Pfahler,The Voluptuous Horror of Karen Black ,1990-present
Kimsooja,Action 1 : A One-Word Name is An Anarchist’s Name,2003
Laurie Anderson,O Superman,1982
Lee Lozano,Dropout Piece,begun c.1970
Leigh Bowery and Nicola Bateman,Costume in Photograph by Fergus Greer,1994
Lili Reynaud-Dewar,In Every Room there is the Ghost of Sex,2008
Lisa Busby,I Begin Alone in this Action: A Series of Sounding Zones,2014
Liz Glynn,The 24-Hour Rome Reconstruction Project,2008
Liz Magic Lazer,The Thought Leader,2015
Lloyd & Wilson ,Broadcast Bartender,2015-present
Lucy Reynolds,A Feminist Chorus,2014
Lygia Clark,Máscaras sensoriais ,1967
Lynda Benglis,ArtForum ad,1974
Maria Fusco,Master Rock,2015
Marina Abramovic,Seven Easy Pieces,2005
Mark Leckey,BigBoxStatueAction,2003 and 2011
Martha Rosler,Semiotics of the Kitchen,1975
Marvin Gaye Chetwynd,Mega Hammer,2016
Meiro Kozumi ,The Birth of Tragedy,2013
Michael Landy,Break Down,2001
Michael Rakowitz,Enemy Kitchen,2006-ongoing
Mierle Laderman Ukeles ,"Washing, Tracks, Maintenance: Outside",1973
Mladen Stilinovic,Artist at Work,1978
Mona Hatoum,Performance Still (from Roadworks),1985-1995
Monica Ross,Anniversary--an Act of Memory,2008-2013
Mounira Al Solh,Bassam Ramlawi,2009-ongoing
New Noveta,NO NOHADOU with DJ Aridtrax,2016
Niki De Saint Phalle,Shooting Picture,1961
On Kawara,I am Still Alive,1969-1979
Otto Muehl with Kurt Kren,Mama und Papa,1964
Pablo Bronstein,Historical Dances in an Antique Setting,2016
Park McArthur and Constantina Zavitsanos,It’s Sorta Like a Big Hug,2015
Paul McCarthy,Class Fool,1976
Pauline Oliveros,To Valerie Solanas and Marilyn Monroe in Recognition of their Desperation (score),1970
Petra Bauer,Read the Masks. Tradition is Not Given,2008-2009
Pil and Galia Kollectiv,WE,2010-present
Pilvi Takala,Real Snow White,2009
Pope. L,ATM Piece,1997
Pussy Riot,Like a Red Prison,2013
Ragnar Kjartansson,S.S. Hangover,2013
Raqs Media Collective,SARAI,2000-present
Richard Long,A Line Made by Walking,1967
Rirkrit Tiravanija,pad thai,1990
Rob Kennedy,Happy the Believers,2006
Robert Rauschenberg,Erased De Kooning,1953
Roman Ondak,Good Feelings in Good Times,2003
Ryan McNamara,Production,2010
Ryan Trecartin & Lizzie Fitch,Center Jenny,2013
Santiago Sierra,160cm Line Tattooed on 4 People,1999
Sarah Lucas and Tracey Emin,The Shop,1993
Sexcentenary,Three Actions Concerning Being Visible,2016
Shia LaBeouf,#ALLMYMOVIES,2015
Simone Forti,Huddle,1961
Sogol Mabadi,Endeavour Series,2010-2013
Sophie Calle,Last seen...,1991
Sophie Lisa Beresford,Pizza Shop Dance,2008
Stelarc,The Third Hand,1980-1998
Sur Rodney (Sur),Free Advice,2008
Suzanne Lacy,Take Back the Night,1978
Tania Bruguera,Tatlin’s Whisper #6 (Havana Version),2009
Tehching Hsieh,One Year Performance 1980-81 (Time Clock Piece),1980-1981
The Sahmat Collective,National Street Theatre Day,1989-2013
Tim Rollins and K.O.S.,The Art and Knowledge Workshop,1982
Tino Sehgal,These associations,2012
Ulises Carrión,"Gossip, Scandal & Good Manners",1981
Valie Export,Action Pants: Genital Panic,1969
Vanessa Beecroft,vb46,2001
Vito Acconci,Seedbed,1972
Walid Raad,The Atlas Group,1999-present
William Kentridge / Jane Taylor,Ubu and the Truth Commission,1996-1997
"Wojciech Kosma, Timothy Murray (directors)",group formerly known as the--family,2011-2015
Yoko Ono,Cut Piece,1965
Yves Klein,Leap Into the Void,1960
Yvonne Rainer,Hand-Movie,1966
Zoe Walker & Neil Bromwich,Art Lending Library,2012-ongoing
